title	genre
Antony and Cleopatra	Tragedy
Henry VI, Part 2	History
The Tragedy of Richard III	History
Cymbeline   Tragedy
Coriolanus  Tragedy
Henry VI, Part 1	History
Henry VI, Part 3	History
Troilus and Cressida	Tragedy
The Merry Wives of Windsor	Comedy
The Tragedy of King Lear	Tragedy
The Taming of the Shrew	Comedy
The Tragedy of Hamlet		Tragedy
The Two Noble Kinsmen		Comedy
As You Like It			Comedy
The Tragedy of Romeo and Juliet		Tragedy
The Tragedy of Macbeth	Tragedy
The Life of Henry V	History
Measure For Measure	Comedy
All’s Well That Ends Well	Comedy
Henry IV, Part 2     History
The Tragedy of Julius Caesar	Tragedy
The Tragedy of Othello, the Moor of Venice	Tragedy
Twelfth Night, or, What You Will    Comedy
Henry VIII     History
Pericles, Prince of Tyre	History
The History of Henry IV, Part 1		History
Timon of Athens      Tragedy
Love’s Labor’s Lost  Comedy
The Tragedy of Richard II	History
Titus Andronicus       Tragedy
Much Ado About Nothing	Comedy
The Merchant of Venice	Comedy
A Midsummer Night’s Dream	Comedy
The Winter’s Tale   Comedy
The Life and Death of King John		History
The Two Gentlemen of Verona		Comedy
The Tempest	  Comedy
The Comedy of Errors	Comedy
Shakespeare's Sonnets and Poems		Poetry
